Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
Piso en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),2.200,65,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Superficie útil:', '59 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3051-07975')]",Alquiler
Apartamento en alquiler en Costillares,Costillares (Distrito Ciudad Lineal. Madrid Capital),2.000,133,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '133 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '5ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF77045-I-00L440-W-02XI16')]",Alquiler
Piso en alquiler en Calle de Felipe V,Palacio (Distrito Centro. Madrid Capital),4.200,229,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '229 m²'), ('Superficie útil:', '206 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA208-8619PA-G')]",Alquiler
Estudio en alquiler en Salamanca,Castellana (Distrito Salamanca. Madrid Capital),870,43,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '43 m²'), ('Baños:', '1'), ('Planta:', '7ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2800-031735')]",Alquiler
Ático en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),4.200,122,Anuncio actualizado el 19/10/2024,N/A,N/A,"[('Superficie construida:', '122 m²'), ('Superficie útil:', '122 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'XA156-SAP-4449')]",Alquiler
Piso en alquiler en Retiro,Adelfas (Distrito Retiro. Madrid Capital),1.500,80,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '80 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2806-032196')]",Alquiler
Piso en alquiler en Lucero,Lucero (Distrito Latina. Madrid Capital),860,63,Anuncio actualizado el 17/09/2024,N/A,N/A,"[('Superficie construida:', '63 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Planta:', 'Bajo'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4376-2110/21100022/132')]",Alquiler
Piso en alquiler en Peñagrande,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),2.000,134,Anuncio actualizado el 08/10/2024,N/A,N/A,"[('Superficie construida:', '134 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Exterior:', 'Exterior'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM34-200184')]",Alquiler
Piso en alquiler en Almendrales,Almendrales (Distrito Usera. Madrid Capital),935,50,Anuncio actualizado el 31/05/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/1306')]",Alquiler
Apartamento en alquiler en Puerta del Ángel,Puerta del Ángel (Distrito Latina. Madrid Capital),1.100,66,Anuncio actualizado el 03/10/2024,Consumo:101 kWh/m² año,Emisiones:18 Kg CO₂/m² año,"[('Superficie construida:', '66 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Antigüedad:', 'Menos de 5 años'), ('Referencia:', 'IF77045-I-00L3GC-W-02X9I4')]",Alquiler
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),1.060,76,Anuncio actualizado el 24/09/2024,N/A,N/A,"[('Superficie construida:', '76 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/1832')]",Alquiler
Piso en alquiler en Carabanchel,Puerta Bonita (Distrito Carabanchel. Madrid Capital),900,55,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2826-032321')]",Alquiler
Apartamento en alquiler en Palomas,Palomas (Distrito Hortaleza. Madrid Capital),1.900,100,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '100 m²'), ('Baños:', '2'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF77045-I-00L44P-W-02XHOI')]",Alquiler
Apartamento en alquiler en Estación-Zona Norte,Estación-Zona Norte (Pozuelo de Alarcón),2.800,154,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '154 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'IF77045-I-00L3UT-W-02XEWD')]",Alquiler
Apartamento en alquiler en Parque Empresarial,Parque Empresarial (Las Rozas de Madrid),1.800,120,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '120 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF77045-I-00L47B-W-02XJ1O')]",Alquiler
Chalet en alquiler en Parque Boadilla,El Olivar de Mirabal (Boadilla del Monte),6.200,490,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '490 m²'), ('Superficie solar:', '923 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM34-199867')]",Alquiler
Piso en alquiler en Calle de Moratines,Acacias (Distrito Arganzuela. Madrid Capital),1.700,77,Anuncio actualizado el 24/07/2024,N/A,N/A,"[('Superficie construida:', '77 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Referencia:', 'SA4312-esther_moratines3H/9940')]",Alquiler
Piso en alquiler en Latina,Lucero (Distrito Latina. Madrid Capital),850,60,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2808-032325')]",Alquiler
Apartamento en alquiler en Acacias,Acacias (Distrito Arganzuela. Madrid Capital),1.600,70,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'IF77045-I-00L3S6-W-02XDC6')]",Alquiler
Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),4.290,68,Anuncio actualizado el 21/05/2024,Consumo:56 kWh/m² año,Emisiones:11 Kg CO₂/m² año,"[('Superficie construida:', '68 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'IF77045-I-00K1TQ-W-02NJA7')]",Alquiler
Piso en alquiler en Meco,Meco,800,65,Anuncio actualizado el 27/10/2024,Consumo:42 kWh/m² año,Emisiones:7 Kg CO₂/m² año,"[('Superficie construida:', '65 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', 'EP579-ALQ2449')]",Alquiler
Piso en alquiler en Piovera,Piovera (Distrito Hortaleza. Madrid Capital),1.385,67,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '67 m²'), ('Superficie útil:', '56 m²'), ('Habitaciones:', '1'), ('Planta:', '2ª'), ('Referencia:', 'XA614-12535')]",Alquiler
Apartamento en alquiler en Calle de la Dulzaina,Costillares (Distrito Ciudad Lineal. Madrid Capital),2.200,115,Anuncio actualizado el 14/10/2024,N/A,N/A,"[('Superficie construida:', '115 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'IF77045-I-00L3TH-W-02XCFN')]",Alquiler
"Apartamento en alquiler en Calle de Narváez, cerca de Calle de Menorca",Ibiza (Distrito Retiro. Madrid Capital),2.900,130,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '130 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Referencia:', 'IF77045-I-00L349-W-02X5LY')]",Alquiler
Piso en alquiler en Calle de Pirra,Rejas (Distrito San Blas. Madrid Capital),1.200,85,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Referencia:', 'SA4312-lucas-pirra/9940')]",Alquiler
"Piso en alquiler en Travesía del Conde Duque, 19",Universidad-Malasaña (Distrito Centro. Madrid Capital),1.700,90,Anuncio actualizado el 15/10/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA2484-3248-11115')]",Alquiler
Piso en alquiler en Malasaña-Universidad,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.100,45,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Superficie útil:', '42 m²'), ('Baños:', '1'), ('Referencia:', 'VE37-0096-00961')]",Alquiler
Piso en alquiler en Ambroz,Ambroz (Distrito Vicálvaro. Madrid Capital),1.145,65,Anuncio actualizado el 03/10/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/1920')]",Alquiler
Piso en alquiler en Villaverde,Los Ángeles (Distrito Villaverde. Madrid Capital),1.150,80,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '80 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Conservación:', 'A estrenar'), ('Referencia:', 'XA24-2829-032077')]",Alquiler
Piso en alquiler en Calle de Francisco Remiro,Guindalera (Distrito Salamanca. Madrid Capital),1.565,92,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '92 m²'), ('Superficie útil:', '64 m²'), ('Habitaciones:', '1'), ('Planta:', '1ª'), ('Referencia:', 'XA614-12646')]",Alquiler
Casa adosada en alquiler en Calle de Rochapea,San Fermín (Distrito Usera. Madrid Capital),1.400,70,Anuncio actualizado el 03/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Superficie útil:', '68 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Tipo de casa:', 'Adosada'), ('Referencia:', 'SA4312-ang_csf/9940')]",Alquiler
Piso en alquiler en Retiro,Goya (Distrito Salamanca. Madrid Capital),7.500,220,Anuncio actualizado el 17/09/2024,N/A,N/A,"[('Superficie construida:', '220 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', 'XA633-5834')]",Alquiler
Apartamento en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),2.390,55,Anuncio actualizado el 10/10/2024,Consumo:125 kWh/m² año,Emisiones:25 Kg CO₂/m² año,"[('Superficie construida:', '55 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '7ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00L3OT-W-02XCIC')]",Alquiler
Piso en alquiler en Las Águilas,Las Águilas (Distrito Latina. Madrid Capital),995,55,Anuncio actualizado el 03/09/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '7ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/790')]",Alquiler
Piso en alquiler en Chorrillo,Chorrillo (Distrito Chorrillo-Garena. Alcalá de Henares),900,69,Anuncio actualizado el 12/09/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010003/46')]",Alquiler
Chalet en alquiler en El Olivar de Mirabal,Sector B (Boadilla del Monte),3.390,260,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '260 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Conservación:', 'A estrenar'), ('Referencia:', 'XA24-2820-031882')]",Alquiler
Piso en alquiler en Simancas,Simancas (Distrito San Blas. Madrid Capital),1.015,49,Anuncio actualizado el 08/10/2024,N/A,N/A,"[('Superficie construida:', '49 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/1346')]",Alquiler
Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),4.150,203,Anuncio actualizado el 21/05/2024,Consumo:234 kWh/m² año,Emisiones:48 Kg CO₂/m² año,"[('Superficie construida:', '203 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Planta:', '5ª'), ('Referencia:', 'IF77045-I-00KWIW-W-02UWM3')]",Alquiler
Apartamento en alquiler en Zofío,Zofío (Distrito Usera. Madrid Capital),1.300,54,Anuncio actualizado el 23/09/2024,N/A,N/A,"[('Superficie construida:', '54 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00L332-W-02X4VX')]",Alquiler
Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),11.000,392,Anuncio actualizado el 21/05/2024,N/A,N/A,"[('Superficie construida:', '392 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Planta:', '1ª'), ('Referencia:', 'IF77045-I-00KP2U-W-02T0K2')]",Alquiler
Apartamento en alquiler en Ríos Rosas,Ríos Rosas (Distrito Chamberí. Madrid Capital),3.200,153,Anuncio actualizado el 16/09/2024,Consumo:156 kWh/m² año,Emisiones:32 Kg CO₂/m² año,"[('Superficie construida:', '153 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'IF77045-I-00L114-W-02WBIC')]",Alquiler
Piso en alquiler en Galapagar,La Navata (Galapagar),1.500,81,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '81 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM34-193034')]",Alquiler
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),890,63,Anuncio actualizado el 10/10/2024,N/A,N/A,"[('Superficie construida:', '63 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4647-2201/22010039/315')]",Alquiler
Apartamento en alquiler en Calle del Almirante,Justicia-Chueca (Distrito Centro. Madrid Capital),3.000,70,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Superficie útil:', '63 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '4ª'), ('Gastos de comunidad:', 'Más de 100 €'), ('Referencia:', 'SA308-ZGZ-372')]",Alquiler
Apartamento en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),1.800,76,Anuncio actualizado el 01/10/2024,Consumo:216 kWh/m² año,Emisiones:37 Kg CO₂/m² año,"[('Superficie construida:', '76 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'IF77045-I-00L3D1-W-02X7WA')]",Alquiler
"Piso en alquiler en Calle del Segura, cerca de Calle Perales",El Bosque (Villaviciosa de Odón),1.050,50,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Superficie útil:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4514034-13347350')]",Alquiler
Apartamento en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),7.500,221,Anuncio actualizado el 16/08/2024,Consumo:209 kWh/m² año,Emisiones:44 Kg CO₂/m² año,"[('Superficie construida:', '221 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00L1AT-W-02WF0Y')]",Alquiler
Piso en alquiler en Moncloa-Aravaca,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),1.100,45,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2802-031954')]",Alquiler
Apartamento en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),3.100,114,Anuncio actualizado el 16/10/2024,Consumo:229 kWh/m² año,Emisiones:48 Kg CO₂/m² año,"[('Superficie construida:', '114 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00L37Q-W-02X69H')]",Alquiler
Casa en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),4.750,286,Anuncio actualizado el 04/09/2024,Consumo:311 kWh/m² año,Emisiones:65 Kg CO₂/m² año,"[('Superficie construida:', '286 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Referencia:', 'IF77045-I-00KKT5-W-02S5HB')]",Alquiler
Piso en alquiler en Norte - Universidad,Norte-Universidad (Móstoles),900,70,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2822-032189')]",Alquiler
Apartamento en alquiler en Valdebebas-Valdefuentes,Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),6.000,260,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '260 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Referencia:', 'IF77045-I-00L3UF-W-02XB93')]",Alquiler
Piso en alquiler en Ciudad Lineal,Quintana (Distrito Ciudad Lineal. Madrid Capital),1.200,90,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2804-012700')]",Alquiler
Piso en alquiler en Prado Somosaguas,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),3.200,254,Anuncio actualizado el 07/10/2024,N/A,N/A,"[('Superficie construida:', '254 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM34-200954')]",Alquiler
Casa adosada en alquiler en Somosaguas-Húmera-Los Ángeles,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),5.000,368,Anuncio actualizado el 15/10/2024,N/A,N/A,"[('Superficie construida:', '368 m²'), ('Superficie solar:', '520 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Tipo de casa:', 'Adosada'), ('Referencia:', 'IF77045-I-00L3VE-W-02XCT8')]",Alquiler
Apartamento en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),2.600,111,Anuncio actualizado el 23/09/2024,Consumo:161 kWh/m² año,Emisiones:34 Kg CO₂/m² año,"[('Superficie construida:', '111 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00L121-W-02WHP3')]",Alquiler
Apartamento en alquiler en Universidad-Malasaña,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.600,132,Anuncio actualizado el 03/10/2024,N/A,N/A,"[('Superficie construida:', '132 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF77045-I-00L2I1-W-02WVAY')]",Alquiler
Apartamento en alquiler en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),1.800,38,Anuncio actualizado el 21/05/2024,Consumo:147 kWh/m² año,Emisiones:25 Kg CO₂/m² año,"[('Superficie construida:', '38 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF77045-I-00KW8I-W-02USLA')]",Alquiler
Ático en alquiler en Calle de Génova,Almagro (Distrito Chamberí. Madrid Capital),6.750,191,Anuncio actualizado el 21/05/2024,Consumo:34 kWh/m² año,Emisiones:6 Kg CO₂/m² año,"[('Superficie construida:', '191 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Antigüedad:', 'Menos de 5 años'), ('Referencia:', 'IF77045-I-00JZXJ-W-02N36W')]",Alquiler
"Apartamento en alquiler en Calle del Mesón de Paredes, cerca de Plaza de Tirso de Molina",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.500,107,Anuncio actualizado el 11/06/2024,N/A,N/A,"[('Superficie construida:', '107 m²'), ('Superficie útil:', '100 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '1ª'), ('Referencia:', 'SA4312-angela-embajadores/9940')]",Alquiler
"Piso en alquiler en Avenida del Valle, 22",Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),1.315,88,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '88 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5100-2200/22000812/00000038')]",Alquiler
Piso en alquiler en Entrevías,Entrevías (Distrito Puente de Vallecas. Madrid Capital),1.155,75,Anuncio actualizado el 12/07/2024,N/A,N/A,"[('Superficie construida:', '75 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/1676')]",Alquiler
Chalet en alquiler en Valdecabañas,El Olivar de Mirabal (Boadilla del Monte),14.000,725,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '725 m²'), ('Superficie solar:', '2 m²'), ('Habitaciones:', '5'), ('Baños:', '6'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM34-198944')]",Alquiler
Apartamento en alquiler en Timón,Timón (Distrito Barajas. Madrid Capital),2.450,157,Anuncio actualizado el 11/10/2024,N/A,N/A,"[('Superficie construida:', '157 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '3ª'), ('Referencia:', 'IF77045-I-00L3R5-W-02XDBC')]",Alquiler
Piso en alquiler en Vista Alegre,Vista Alegre (Distrito Carabanchel. Madrid Capital),1.200,30,Anuncio actualizado el 18/07/2024,Consumo:256 kWh/m² año,Emisiones:50 Kg CO₂/m² año,"[('Superficie construida:', '30 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Referencia:', 'IF77045-I-00L0E8-W-02WAZ5')]",Alquiler
Piso en alquiler en Barajas,Timón (Distrito Barajas. Madrid Capital),1.395,77,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '77 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2805-032252')]",Alquiler
Piso en alquiler en Calle de la Higuera,¡Vaya! Esta propiedad no tiene fotos,800,90,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Superficie útil:', '90 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4522045-000017')]",Alquiler
Piso en alquiler en Portazgo,Portazgo (Distrito Puente de Vallecas. Madrid Capital),995,58,Anuncio actualizado el 17/09/2024,N/A,N/A,"[('Superficie construida:', '58 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4376-2110/21100022/341')]",Alquiler
Piso en alquiler en Tetuan,Valdeacederas (Distrito Tetuán. Madrid Capital),1.300,100,Anuncio actualizado el 08/10/2024,N/A,N/A,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2815-024304')]",Alquiler
Ático en alquiler en Galapagar,La Navata (Galapagar),1.750,150,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '150 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Referencia:', 'GM34-185905')]",Alquiler
Piso en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),1.700,56,Anuncio actualizado el 15/07/2024,Consumo:238 kWh/m² año,Emisiones:49 Kg CO₂/m² año,"[('Superficie construida:', '56 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '10ª'), ('Referencia:', 'IF77045-I-00KZ4I-W-02VUL3')]",Alquiler
Apartamento en alquiler en Arapiles,Arapiles (Distrito Chamberí. Madrid Capital),2.800,165,Anuncio actualizado el 14/10/2024,Consumo:177 kWh/m² año,Emisiones:37 Kg CO₂/m² año,"[('Superficie construida:', '165 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '6ª'), ('Referencia:', 'IF77045-I-00L37Y-W-02X708')]",Alquiler
Ático en alquiler en Galapagar,La Navata (Galapagar),1.700,100,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM34-194819')]",Alquiler
Piso en alquiler en Casco Histórico de Vallecas,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),925,98,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '98 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4647-2201/22010039/239')]",Alquiler
Piso en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),5.700,295,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '295 m²'), ('Superficie útil:', '262 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '7ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3051-07845')]",Alquiler
Chalet en alquiler en Arroyomolinos,Zona de las Cárcavas-Arroyo del Bosque (Arroyomolinos),1.500,180,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '180 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2811-031119')]",Alquiler
