Descripción,Localización,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Superficie Construida,Superficie Útil,Habitaciones,Baños,Antigüedad,Conservación,Planta,Tipo De Casa
Piso en alquiler en Abrantes,Abrantes (Distrito Carabanchel. Madrid Capital),1075.0,2024-08-13,,,Alquiler,72.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),3300.0,2024-05-21,,,Alquiler,100.0,No especificado,4,2,No especificado,No especificado,5ª,Piso
Piso en alquiler en Comillas,Comillas (Distrito Carabanchel. Madrid Capital),1150.0,2024-05-21,Consumo:118 kWh/m² año,Emisiones:40 Kg CO₂/m² año,Alquiler,74.0,No especificado,1,1,No especificado,No especificado,No especificado,Piso
Casa adosada en alquiler en Calle Bellatrix,Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),8500.0,2024-09-14,,,Alquiler,650.0,No especificado,5,7,Entre 10 y 20 años,No especificado,No especificado,Casa
Piso en alquiler en San Isidro,San Isidro (Distrito Carabanchel. Madrid Capital),920.0,2024-09-17,,,Alquiler,55.0,No especificado,2,1,Más de 50 años,En buen estado,4ª,Piso
"Apartamento en alquiler en Calle Castelló, cerca de Calle de Don Ramón de la Cruz",Castellana (Distrito Salamanca. Madrid Capital),3600.0,2024-07-15,,,Alquiler,159.0,No especificado,3,2,No especificado,No especificado,6ª,Otro
Apartamento en alquiler en Calle del Conde de Aranda,Recoletos (Distrito Salamanca. Madrid Capital),2570.0,2024-10-22,,,Alquiler,40.0,35.0,1,1,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Chamberí,Almagro (Distrito Chamberí. Madrid Capital),3400.0,2024-10-24,,,Alquiler,92.0,No especificado,2,3,No especificado,No especificado,No especificado,Piso
"Piso en alquiler en Calle de Hortaleza, cerca de Calle de Hernán Cortés",Justicia-Chueca (Distrito Centro. Madrid Capital),3500.0,2024-06-11,,,Alquiler,104.0,90.0,2,2,No especificado,No especificado,2ª,Piso
Piso en alquiler en Centro,Cortes-Huertas (Distrito Centro. Madrid Capital),1990.0,2024-09-17,,,Alquiler,60.0,58.0,2,1,No especificado,No especificado,3ª,Piso
Chalet en alquiler en Fuentelarreina,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),4500.0,2024-10-15,,,Alquiler,380.0,No especificado,6,6,Más de 50 años,No especificado,No especificado,Chalet
Apartamento en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),2400.0,2024-10-14,,,Alquiler,49.0,No especificado,1,1,No especificado,No especificado,No especificado,Otro
Apartamento en alquiler en La Paz,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),2500.0,2024-10-15,Consumo:131 kWh/m² año,Emisiones:27 Kg CO₂/m² año,Alquiler,157.0,No especificado,4,2,Entre 30 y 50 años,No especificado,11ª,Otro
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),1020.0,2024-10-22,,,Alquiler,57.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),4620.0,2024-05-21,Consumo:56 kWh/m² año,Emisiones:11 Kg CO₂/m² año,Alquiler,105.0,No especificado,1,2,No especificado,No especificado,No especificado,Piso
Estudio en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),1200.0,2024-09-13,,,Alquiler,44.0,40.0,1,1,Más de 50 años,No especificado,No especificado,Estudio
Piso en alquiler en Avenida de Córdoba,Almendrales (Distrito Usera. Madrid Capital),895.0,2024-10-28,,,Alquiler,42.0,33.0,No especificado,No especificado,No especificado,No especificado,9ª,Piso
Piso en alquiler en Chamberi,Ríos Rosas (Distrito Chamberí. Madrid Capital),1200.0,2024-10-25,,,Alquiler,50.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),1095.0,2024-08-12,,,Alquiler,62.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Palomas,Palomas (Distrito Hortaleza. Madrid Capital),2200.0,2024-05-21,,,Alquiler,90.0,No especificado,2,2,Entre 20 y 30 años,No especificado,No especificado,Piso
Piso en alquiler en Fuencarral,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1700.0,2024-10-22,,,Alquiler,116.0,No especificado,3,2,No especificado,En buen estado,1ª,Piso
Apartamento en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),3500.0,2024-09-26,,,Alquiler,151.0,No especificado,2,1,No especificado,No especificado,3ª,Otro
Piso en alquiler en Calle del Arte Figurativo,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),1400.0,2024-10-22,,,Alquiler,114.0,90.0,3,2,Entre 5 y 10 años,No especificado,Bajo,Piso
Estudio en alquiler en Chamartin,Sol (Distrito Centro. Madrid Capital),1600.0,2024-10-27,,,Alquiler,20.0,No especificado,1,1,No especificado,A estrenar,1ª,Estudio
Estudio en alquiler en Calle del Arquitecto Gaudí,Nueva España (Distrito Chamartín. Madrid Capital),1100.0,2024-10-23,,,Alquiler,42.0,No especificado,No especificado,1,No especificado,En buen estado,2ª,Estudio
Casa en alquiler en Corpa,Corpa,650.0,2024-10-21,,,Alquiler,90.0,72.0,3,1,Entre 30 y 50 años,No especificado,No especificado,Casa
Piso en alquiler en Avenida de Calatalifa,¡Vaya! Esta propiedad no tiene fotos,1100.0,2024-09-17,,,Alquiler,40.0,38.0,1,1,Entre 10 y 20 años,En buen estado,Bajo,Piso
Casa en alquiler en Ciudalcampo-Fuente del Fresno,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),10000.0,2024-10-10,,,Alquiler,494.0,No especificado,4,5,No especificado,No especificado,No especificado,Casa
"Piso en alquiler en Calle de Hortaleza, cerca de Calle de Fuencarral",Justicia-Chueca (Distrito Centro. Madrid Capital),2500.0,2024-09-21,,,Alquiler,105.0,No especificado,2,2,No especificado,En buen estado,No especificado,Piso
Piso en alquiler en Galapagar,La Navata (Galapagar),1650.0,2024-10-10,,,Alquiler,120.0,No especificado,4,3,No especificado,No especificado,No especificado,Piso
Casa en alquiler en Calle del Monte Sollube,El Olivar de Mirabal (Boadilla del Monte),2350.0,2024-10-21,,,Alquiler,130.0,No especificado,No especificado,2,Entre 30 y 50 años,No especificado,No especificado,Casa
Dúplex en alquiler en Calle Camino de Valladolid,Casco Antiguo (Torrelodones),890.0,2024-10-28,,,Alquiler,50.0,50.0,1,1,Entre 5 y 10 años,En buen estado,1ª,Dúplex
Piso en alquiler en Valdeacederas,Valdeacederas (Distrito Tetuán. Madrid Capital),985.0,2024-10-14,,,Alquiler,45.0,No especificado,2,1,No especificado,En buen estado,Bajo,Piso
Apartamento en alquiler en Imperial,Imperial (Distrito Arganzuela. Madrid Capital),1950.0,2024-10-07,Consumo:200 kWh/m² año,Emisiones:41 Kg CO₂/m² año,Alquiler,101.0,No especificado,2,2,Entre 20 y 30 años,No especificado,5ª,Otro
Apartamento en alquiler en Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),1950.0,2024-10-28,,,Alquiler,103.0,No especificado,2,2,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Embajadores-Lavapiés,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1400.0,2024-10-28,,,Alquiler,40.0,37.0,1,1,Entre 20 y 30 años,En buen estado,4ª,Piso
"Estudio en alquiler en Calle Gran Vía, 43, cerca de Calle de los Tudescos",Palacio (Distrito Centro. Madrid Capital),999.0,2024-10-06,,,Alquiler,30.0,No especificado,1,1,Entre 20 y 30 años,En buen estado,2ª,Estudio
Piso en alquiler en Chamberi,Trafalgar (Distrito Chamberí. Madrid Capital),1400.0,2024-10-23,,,Alquiler,72.0,No especificado,2,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en los Rosales,Los Rosales (Distrito Villaverde. Madrid Capital),880.0,2024-07-02,,,Alquiler,44.0,No especificado,2,1,No especificado,En buen estado,Bajo,Piso
Piso en alquiler en Este,Sur-Este (Móstoles),800.0,2024-10-25,,,Alquiler,75.0,No especificado,1,1,No especificado,En buen estado,6ª,Piso
Piso en alquiler en Golf - El Carralero,Golf-El Carralero (Majadahonda),1200.0,2024-10-17,,,Alquiler,65.0,No especificado,2,1,No especificado,En buen estado,No especificado,Piso
Piso en alquiler en Calle de San Juan de Ortega,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1450.0,2024-10-27,,,Alquiler,94.0,59.0,2,No especificado,No especificado,No especificado,2ª,Piso
Casa en alquiler en Fuente del Berro,Fuente del Berro (Distrito Salamanca. Madrid Capital),2200.0,2024-10-14,,,Alquiler,150.0,No especificado,3,2,No especificado,No especificado,No especificado,Casa
Ático en alquiler en Rivas-Urbanizaciones,Rivas-Urbanizaciones (Rivas-Vaciamadrid),2500.0,2024-09-16,,,Alquiler,208.0,No especificado,4,3,Más de 50 años,No especificado,4ª,Otro
"Piso en alquiler en Calle de la Virgen de la Cabeza, cerca de Avenida de Manuel Azaña",Las Conejeras-El Esparragal (Coslada),1250.0,2024-10-24,,,Alquiler,107.0,No especificado,4,2,No especificado,En buen estado,2ª,Piso
Apartamento en alquiler en Palacio,Palacio (Distrito Centro. Madrid Capital),2500.0,2024-10-22,,,Alquiler,121.0,No especificado,2,2,Más de 50 años,No especificado,3ª,Otro
Ático en alquiler en Somosaguas-Húmera-Los Ángeles,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),2400.0,2024-10-28,,,Alquiler,200.0,120.0,2,2,Entre 10 y 20 años,En buen estado,2ª,Otro
Piso en alquiler en Centro,Cortes-Huertas (Distrito Centro. Madrid Capital),3500.0,2024-09-17,,,Alquiler,80.0,No especificado,2,2,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Palomeras Sureste,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),995.0,2024-10-22,,,Alquiler,60.0,No especificado,2,1,No especificado,En buen estado,1ª,Piso
Chalet en alquiler en El Bosque,El Bosque (Villaviciosa de Odón),2300.0,2024-10-04,,,Alquiler,352.0,315.0,4,3,Entre 30 y 50 años,No especificado,No especificado,Chalet
Chalet pareado en alquiler en Conde Orgaz,Palacio (Distrito Centro. Madrid Capital),3800.0,2024-10-21,,,Alquiler,390.0,No especificado,7,5,Más de 50 años,No especificado,No especificado,Chalet
Chalet en alquiler en Zona Estación - Centro,Centro-Zona de la Estación (Tres Cantos),1900.0,2024-10-27,,,Alquiler,200.0,No especificado,4,4,No especificado,En buen estado,No especificado,Chalet
Piso en alquiler en Calle Corredera Alta de San Pablo,Universidad-Malasaña (Distrito Centro. Madrid Capital),1790.0,2024-10-01,,,Alquiler,39.0,37.0,1,1,No especificado,No especificado,4ª,Piso
Piso en alquiler en Calle de Méndez Álvaro,Delicias (Distrito Arganzuela. Madrid Capital),1550.0,2024-10-28,,,Alquiler,77.0,58.0,2,No especificado,No especificado,No especificado,1ª,Piso
Piso en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),4300.0,2024-05-21,Consumo:82 kWh/m² año,Emisiones:16 Kg CO₂/m² año,Alquiler,135.0,No especificado,2,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Bellas Vistas,Bellas Vistas (Distrito Tetuán. Madrid Capital),800.0,2024-10-07,,,Alquiler,58.0,54.0,2,1,No especificado,En buen estado,Bajo,Piso
Piso en alquiler en Mejorada del Campo,Mejorada del Campo,925.0,2024-09-30,,,Alquiler,68.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Retiro,Jerónimos (Distrito Retiro. Madrid Capital),6000.0,2024-10-26,,,Alquiler,221.0,No especificado,4,3,No especificado,En buen estado,5ª,Piso
Apartamento en alquiler en Guindalera,Guindalera (Distrito Salamanca. Madrid Capital),2700.0,2024-10-28,Consumo:186 kWh/m² año,Emisiones:38 Kg CO₂/m² año,Alquiler,91.0,No especificado,2,2,Más de 50 años,No especificado,5ª,Otro
Chalet en alquiler en Robledo de Chavela,Robledo de Chavela,1500.0,2024-10-14,,,Alquiler,210.0,200.0,3,3,Entre 10 y 20 años,No especificado,No especificado,Chalet
"Casa en alquiler en Calle de Victoria Rubio, número .",Sector B (Boadilla del Monte),2200.0,2024-10-12,,,Alquiler,300.0,200.0,3,3,No especificado,No especificado,No especificado,Casa
Estudio en alquiler en Calle de la Beneficencia,Justicia-Chueca (Distrito Centro. Madrid Capital),1300.0,2024-07-19,,,Alquiler,37.0,35.0,2,1,No especificado,No especificado,3ª,Estudio
Piso en alquiler en Tetuan,Castillejos (Distrito Tetuán. Madrid Capital),2950.0,2024-10-17,,,Alquiler,121.0,No especificado,3,3,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),2200.0,2024-09-25,,,Alquiler,47.0,No especificado,1,1,No especificado,En buen estado,3ª,Piso
Apartamento en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),2700.0,2024-10-16,Consumo:176 kWh/m² año,Emisiones:37 Kg CO₂/m² año,Alquiler,95.0,No especificado,2,2,Más de 50 años,No especificado,5ª,Otro
Casa en alquiler en Dehesa Vieja-Puente Cultural,Dehesa Vieja-Puente Cultural (San Sebastián de los Reyes),3900.0,2024-07-22,,,Alquiler,680.0,No especificado,7,8,No especificado,No especificado,No especificado,Casa
Piso en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),2600.0,2024-10-28,,,Alquiler,209.0,153.0,4,2,Más de 50 años,En buen estado,6ª,Piso
Apartamento en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),2500.0,2024-10-15,Consumo:217 kWh/m² año,Emisiones:42 Kg CO₂/m² año,Alquiler,100.0,No especificado,2,1,No especificado,No especificado,5ª,Otro
Piso en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),950.0,2024-10-16,,,Alquiler,52.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en San Diego,San Diego (Distrito Puente de Vallecas. Madrid Capital),940.0,2024-10-17,,,Alquiler,58.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
Chalet adosado en alquiler en Soto de La Moraleja,Encinar de los Reyes (La Moraleja),4200.0,2024-10-22,,,Alquiler,366.0,No especificado,6,6,Más de 50 años,No especificado,No especificado,Chalet
Piso en alquiler en Sol,Sol (Distrito Centro. Madrid Capital),3500.0,2024-10-28,,,Alquiler,155.0,148.0,2,2,Más de 50 años,En buen estado,2ª,Piso
Apartamento en alquiler en Castillejos,Castillejos (Distrito Tetuán. Madrid Capital),1450.0,2024-10-18,Consumo:285 kWh/m² año,Emisiones:56 Kg CO₂/m² año,Alquiler,69.0,No especificado,2,1,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Boadilla de Norte,Sector S (Boadilla del Monte),1500.0,2024-10-10,,,Alquiler,100.0,No especificado,3,2,No especificado,En buen estado,2ª,Piso
Apartamento en alquiler en Cuatro Caminos,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2700.0,2024-10-14,Consumo:128 kWh/m² año,Emisiones:30 Kg CO₂/m² año,Alquiler,117.0,No especificado,2,3,Más de 50 años,No especificado,No especificado,Otro
Piso en alquiler en Calle de San Blas,Humanes de Madrid,750.0,2024-10-09,,,Alquiler,45.0,40.0,1,1,Menos de 5 años,En buen estado,Bajo,Piso
Piso en alquiler en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),1015.0,2024-07-09,,,Alquiler,72.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Chalet en alquiler en Rivas-Vaciamadrid,Casco (Rivas-Vaciamadrid),1700.0,2024-10-25,,,Alquiler,160.0,No especificado,4,3,No especificado,En buen estado,No especificado,Chalet
Ático en alquiler en Ciudad Jardín,Ciudad Jardín (Distrito Chamartín. Madrid Capital),2600.0,2024-10-28,,,Alquiler,140.0,100.0,3,2,No especificado,En buen estado,5ª,Otro
Dúplex en alquiler en Lavapiés-Embajadores,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1900.0,2024-09-25,,,Alquiler,65.0,60.0,2,2,Más de 50 años,No especificado,No especificado,Dúplex
Piso en alquiler en Goya,Recoletos (Distrito Salamanca. Madrid Capital),4200.0,2024-09-13,,,Alquiler,180.0,172.0,4,3,Más de 50 años,No especificado,No especificado,Piso
Piso en alquiler en Malasaña-Universidad,Universidad-Malasaña (Distrito Centro. Madrid Capital),2100.0,2024-09-28,,,Alquiler,75.0,65.0,2,1,Más de 50 años,No especificado,No especificado,Piso
Piso en alquiler en Aravaca,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),2200.0,2024-10-27,,,Alquiler,140.0,No especificado,3,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Valdeacederas,El Encinar-Vista Nevada-La Quinta del Praderón (Galapagar),3000.0,2024-09-13,,,Alquiler,74.0,70.0,2,1,Entre 30 y 50 años,No especificado,No especificado,Piso
Piso en alquiler en Jerónimos,Jerónimos (Distrito Retiro. Madrid Capital),1950.0,2024-09-17,,,Alquiler,65.0,No especificado,2,2,No especificado,No especificado,4ª,Piso
Apartamento en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),2050.0,2024-10-15,Consumo:25 kWh/m² año,Emisiones:4 Kg CO₂/m² año,Alquiler,51.0,No especificado,2,1,Entre 20 y 30 años,No especificado,No especificado,Otro
Piso en alquiler en Calle del Duque de Rivas,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),3600.0,2024-05-21,,,Alquiler,141.0,No especificado,2,3,Más de 50 años,No especificado,No especificado,Piso
Piso en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),3065.0,2024-09-25,,,Alquiler,173.0,No especificado,4,3,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Calle de Montesa,Goya (Distrito Salamanca. Madrid Capital),2070.0,2024-06-11,,,Alquiler,109.0,95.0,3,2,No especificado,No especificado,2ª,Piso
Chalet en alquiler en La Moraleja,Encinar de los Reyes (La Moraleja),12250.0,2024-10-21,,,Alquiler,574.0,No especificado,6,8,Más de 50 años,No especificado,No especificado,Chalet
Apartamento en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),3150.0,2024-10-10,,,Alquiler,170.0,No especificado,4,3,No especificado,No especificado,5ª,Otro
Apartamento en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),3950.0,2024-09-16,Consumo:296 kWh/m² año,Emisiones:60 Kg CO₂/m² año,Alquiler,182.0,No especificado,2,2,Más de 50 años,No especificado,7ª,Otro
"Apartamento en alquiler en Calle de Hortaleza, cerca de Calle de Fuencarral",Justicia-Chueca (Distrito Centro. Madrid Capital),1500.0,2024-05-21,Consumo:141 kWh/m² año,Emisiones:24 Kg CO₂/m² año,Alquiler,50.0,No especificado,1,1,Más de 50 años,No especificado,No especificado,Otro
Ático en alquiler en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),2600.0,2024-10-02,,,Alquiler,135.0,No especificado,2,2,No especificado,No especificado,8ª,Otro
Apartamento en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),12000.0,2024-07-29,,,Alquiler,310.0,No especificado,5,4,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Centro,Centro (Getafe),1050.0,2024-10-08,,,Alquiler,54.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Legazpi,Legazpi (Distrito Arganzuela. Madrid Capital),915.0,2024-09-13,,,Alquiler,53.0,No especificado,No especificado,1,Más de 50 años,En buen estado,5ª,Piso
"Piso en alquiler en Paseo de la Habana, 103, cerca de Avenida de Alberto Alcocer",Hispanoamérica (Distrito Chamartín. Madrid Capital),2200.0,2024-10-28,,,Alquiler,85.0,No especificado,2,2,Más de 50 años,En buen estado,2ª,Piso
Ático en alquiler en Puerta del Ángel,Puerta del Ángel (Distrito Latina. Madrid Capital),1350.0,2024-09-19,Consumo:145 kWh/m² año,Emisiones:25 Kg CO₂/m² año,Alquiler,65.0,No especificado,1,1,No especificado,No especificado,3ª,Otro
Chalet adosado en alquiler en Campo de Las Naciones,Palacio (Distrito Centro. Madrid Capital),3600.0,2024-10-19,,,Alquiler,350.0,No especificado,No especificado,No especificado,Más de 50 años,No especificado,No especificado,Chalet
Piso en alquiler en Encinar de los Reyes,Encinar de los Reyes (La Moraleja),3700.0,2024-10-28,,,Alquiler,179.0,153.0,4,2,Entre 20 y 30 años,En buen estado,1ª,Piso
Estudio en alquiler en Ciudad Lineal,San Pascual (Distrito Ciudad Lineal. Madrid Capital),1000.0,2024-10-19,,,Alquiler,36.0,No especificado,No especificado,1,No especificado,En buen estado,8ª,Estudio
Apartamento en alquiler en Hospital,Hospital (Valdemoro),1280.0,2024-10-23,Consumo:29 kWh/m² año,Emisiones:6 Kg CO₂/m² año,Alquiler,80.0,No especificado,3,2,Menos de 5 años,No especificado,1ª,Otro
Piso en alquiler en Alcobendas,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),5200.0,2024-10-05,,,Alquiler,200.0,No especificado,4,4,No especificado,No especificado,No especificado,Piso
Estudio en alquiler en Centro,Universidad-Malasaña (Distrito Centro. Madrid Capital),700.0,2024-10-24,,,Alquiler,25.0,No especificado,No especificado,1,No especificado,En buen estado,1ª,Estudio
Chalet en alquiler en Soto de Viñuelas,Soto de Viñuelas (Tres Cantos),2400.0,2024-10-17,,,Alquiler,260.0,No especificado,4,3,No especificado,En buen estado,No especificado,Chalet
"Ático en alquiler en Calle de Alonso Cano, cerca de Calle de Maudes",¡Vaya! Esta propiedad no tiene fotos,3400.0,2024-08-13,,,Alquiler,144.0,125.0,2,2,No especificado,No especificado,8ª,Otro
Apartamento en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),13500.0,2024-10-07,Consumo:139 kWh/m² año,Emisiones:27 Kg CO₂/m² año,Alquiler,410.0,No especificado,6,5,No especificado,No especificado,5ª,Otro
Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),4620.0,2024-05-21,Consumo:56 kWh/m² año,Emisiones:11 Kg CO₂/m² año,Alquiler,98.0,No especificado,2,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Chorrillo,Rinconada (Distrito Reyes Católicos. Alcalá de Henares),800.0,2024-10-15,,,Alquiler,70.0,No especificado,2,1,No especificado,En buen estado,No especificado,Piso
Apartamento en alquiler en Puerta del Ángel,Puerta del Ángel (Distrito Latina. Madrid Capital),1550.0,2024-10-03,Consumo:310 kWh/m² año,Emisiones:64 Kg CO₂/m² año,Alquiler,67.0,No especificado,2,1,No especificado,No especificado,4ª,Otro
Apartamento en alquiler en Valverde,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),1163.0,2024-08-07,,,Alquiler,30.0,20.0,1,1,No especificado,No especificado,1ª,Otro
Chalet pareado en alquiler en Carretera del Plantío,Zona Carretera del Plantío (Majadahonda),1800.0,2024-10-15,,,Alquiler,155.0,No especificado,3,3,Más de 50 años,No especificado,No especificado,Chalet
Piso en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),1900.0,2024-09-13,,,Alquiler,80.0,75.0,2,1,Entre 30 y 50 años,No especificado,No especificado,Piso
Apartamento en alquiler en Castellana,Castellana (Distrito Salamanca. Madrid Capital),6750.0,2024-07-26,Consumo:33 kWh/m² año,Emisiones:6 Kg CO₂/m² año,Alquiler,240.0,No especificado,4,3,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Calle del Espejo,Palacio (Distrito Centro. Madrid Capital),1900.0,2024-06-11,,,Alquiler,135.0,125.0,2,2,No especificado,No especificado,3ª,Piso
Estudio en alquiler en Almagro,Almagro (Distrito Chamberí. Madrid Capital),1390.0,2024-09-13,,,Alquiler,47.0,40.0,1,1,Más de 50 años,No especificado,No especificado,Estudio
Apartamento en alquiler en Cuatro Caminos,Cuatro Caminos (Distrito Tetuán. Madrid Capital),3400.0,2024-10-22,Consumo:308 kWh/m² año,Emisiones:79 Kg CO₂/m² año,Alquiler,93.0,No especificado,2,1,Entre 30 y 50 años,No especificado,11ª,Otro
Chalet en alquiler en Conde Orgaz,Prosperidad (Distrito Chamartín. Madrid Capital),4400.0,2024-10-20,,,Alquiler,330.0,No especificado,6,6,Más de 50 años,No especificado,No especificado,Chalet
Apartamento en alquiler en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),7000.0,2024-09-25,Consumo:88 kWh/m² año,Emisiones:17 Kg CO₂/m² año,Alquiler,157.0,No especificado,2,2,Más de 50 años,No especificado,5ª,Otro
Casa adosada en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),3600.0,2024-10-15,Consumo:169 kWh/m² año,Emisiones:35 Kg CO₂/m² año,Alquiler,140.0,No especificado,2,3,Más de 50 años,No especificado,No especificado,Casa
Apartamento en alquiler en Ciudad Universitaria,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1400.0,2024-09-17,Consumo:263 kWh/m² año,Emisiones:45 Kg CO₂/m² año,Alquiler,40.0,No especificado,1,1,Más de 50 años,No especificado,1ª,Otro
Piso en alquiler en Chamberi,Arapiles (Distrito Chamberí. Madrid Capital),1150.0,2024-10-28,,,Alquiler,45.0,No especificado,1,1,No especificado,En buen estado,No especificado,Piso
Piso en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),1650.0,2024-10-19,,,Alquiler,70.0,63.0,1,2,No especificado,No especificado,No especificado,Piso
"Piso en alquiler en Calle Orense, 6, cerca de Calle de Hernani",Cuatro Caminos (Distrito Tetuán. Madrid Capital),2450.0,2024-10-24,,,Alquiler,100.0,85.0,2,1,No especificado,En buen estado,14ª,Piso
Ático en alquiler en San Blas,Rosas (Distrito San Blas. Madrid Capital),1350.0,2024-10-28,,,Alquiler,100.0,No especificado,2,2,No especificado,En buen estado,4ª,Otro
Chalet pareado en alquiler en Alcobendas,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),6600.0,2024-10-19,,,Alquiler,550.0,No especificado,7,6,Más de 50 años,No especificado,No especificado,Chalet
Piso en alquiler en Tetuan,Valdeacederas (Distrito Tetuán. Madrid Capital),1350.0,2024-10-14,,,Alquiler,93.0,No especificado,2,2,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),1100.0,2024-08-12,,,Alquiler,56.0,No especificado,3,1,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Salamanca,Guindalera (Distrito Salamanca. Madrid Capital),1590.0,2024-10-18,,,Alquiler,76.0,No especificado,2,2,No especificado,En buen estado,4ª,Piso
Ático en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),1650.0,2024-10-23,Consumo:433 kWh/m² año,Emisiones:91 Kg CO₂/m² año,Alquiler,58.0,No especificado,No especificado,2,Más de 50 años,No especificado,6ª,Otro
Piso en alquiler en Almenara,Almenara (Distrito Tetuán. Madrid Capital),1450.0,2024-10-28,,,Alquiler,61.0,48.0,1,1,Entre 30 y 50 años,En buen estado,8ª,Piso
Piso en alquiler en Galapagar,La Navata (Galapagar),1500.0,2024-10-24,,,Alquiler,90.0,No especificado,3,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),4000.0,2024-10-28,,,Alquiler,128.0,102.0,2,2,Entre 20 y 30 años,En buen estado,5ª,Piso
"Casa en alquiler en Boadilla del Monte, Zona de - Boadilla del Monte",Bonanza (Boadilla del Monte),4300.0,2024-05-21,,,Alquiler,600.0,No especificado,5,6,No especificado,En buen estado,No especificado,Casa
